Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
35,0.68,4.78e-11,6.14e-11,1.03e-10,9.86e-12,1.28e-11,1.76e-11,4.58e-11,6.22e-11,8.44e-11,8.38e-10,8.5e-10,8.66e-10
40,0.68,4.74e-11,6.1e-11,1.02e-10,9.83e-12,1.27e-11,1.75e-11,4.53e-11,6.15e-11,8.37e-11,8.33e-10,8.46e-10,8.62e-10
45,0.68,4.71e-11,6.05e-11,1.01e-10,9.8e-12,1.27e-11,1.74e-11,4.49e-11,6.09e-11,8.29e-11,8.28e-10,8.41e-10,8.58e-10
50,0.68,4.68e-11,6e-11,9.97e-11,9.76e-12,1.26e-11,1.73e-11,4.44e-11,6.02e-11,8.21e-11,8.24e-10,8.36e-10,8.54e-10
55,0.68,4.64e-11,5.95e-11,9.86e-11,9.73e-12,1.26e-11,1.72e-11,4.39e-11,5.96e-11,8.14e-11,8.19e-10,8.32e-10,8.51e-10
60,0.68,4.61e-11,5.91e-11,9.74e-11,9.7e-12,1.25e-11,1.71e-11,4.34e-11,5.89e-11,8.07e-11,8.15e-10,8.27e-10,8.47e-10
65,0.68,4.57e-11,5.86e-11,9.63e-11,9.67e-12,1.25e-11,1.69e-11,4.29e-11,5.83e-11,8e-11,8.1e-10,8.23e-10,8.43e-10
70,0.68,4.54e-11,5.81e-11,9.52e-11,9.64e-12,1.24e-11,1.68e-11,4.24e-11,5.76e-11,7.93e-11,8.05e-10,8.18e-10,8.39e-10
75,0.68,4.5e-11,5.76e-11,9.41e-11,9.61e-12,1.24e-11,1.67e-11,4.2e-11,5.69e-11,7.87e-11,8.01e-10,8.14e-10,8.35e-10
80,0.68,4.47e-11,5.7e-11,9.3e-11,9.58e-12,1.23e-11,1.66e-11,4.15e-11,5.62e-11,7.81e-11,7.96e-10,8.09e-10,8.31e-10
85,0.68,4.43e-11,5.65e-11,9.18e-11,9.55e-12,1.22e-11,1.65e-11,4.1e-11,5.55e-11,7.75e-11,7.92e-10,8.05e-10,8.27e-10
